timestamp,source_ip,dest_ip,protocol,frame_length,src_port,dst_port,udp_src_port,udp_dst_port,ip_length
frame.time_epoch,ip.src,ip.dst,ip.proto,frame.len,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.len
"1735855484.085914000","102.31.137.53","192.168.1.14","17","1182",,,"42379","63595","1168"
"1735855484.086645000","102.31.137.53","192.168.1.14","17","1183",,,"42379","63595","1169"
"1735855484.086645000","102.31.137.53","192.168.1.14","17","1182",,,"42379","63595","1168"
"1735855484.086850000","192.168.1.14","102.31.137.53","17","72",,,"63595","42379","58"
"1735855484.101394000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.102659000","102.31.137.53","192.168.1.14","17","1031",,,"42379","63595","1017"
"1735855484.105467000","102.31.137.53","192.168.1.14","17","1031",,,"42379","63595","1017"
"1735855484.105467000","102.31.137.53","192.168.1.14","17","1032",,,"42379","63595","1018"
"1735855484.105467000","102.31.137.53","192.168.1.14","17","1031",,,"42379","63595","1017"
"1735855484.105765000","192.168.1.14","102.31.137.53","17","72",,,"63595","42379","58"
"1735855484.109974000","192.168.1.14","102.31.137.53","17","86",,,"63595","42379","72"
"1735855484.128478000","192.168.1.14","102.31.137.53","17","77",,,"63595","42379","63"
"1735855484.130872000","102.31.137.53","192.168.1.14","17","1182",,,"42379","63595","1168"
"1735855484.145347000","102.31.137.53","192.168.1.14","17","1031",,,"42379","63595","1017"
"1735855484.149585000","192.168.1.14","102.31.137.53","17","671",,,"63595","42379","657"
"1735855484.150922000","192.168.1.14","102.31.137.53","17","88",,,"63595","42379","74"
"1735855484.152531000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.178576000","102.31.137.53","192.168.1.14","17","1195",,,"42379","63595","1181"
"1735855484.179015000","102.31.137.53","192.168.1.14","17","1195",,,"42379","63595","1181"
"1735855484.180311000","102.31.137.53","192.168.1.14","17","1195",,,"42379","63595","1181"
"1735855484.180778000","102.31.137.53","192.168.1.14","17","1196",,,"42379","63595","1182"
"1735855484.181296000","102.31.137.53","192.168.1.14","17","1196",,,"42379","63595","1182"
"1735855484.181591000","192.168.1.14","102.31.137.53","17","112",,,"63595","42379","98"
"1735855484.197530000","192.168.1.14","102.31.137.53","17","477",,,"63595","42379","463"
"1735855484.202274000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.244928000","192.168.1.14","102.31.137.53","17","84",,,"63595","42379","70"
"1735855484.252868000","102.31.137.53","192.168.1.14","17","1242",,,"42379","63595","1228"
"1735855484.253400000","102.31.137.53","192.168.1.14","17","1243",,,"42379","63595","1229"
"1735855484.253848000","102.31.137.53","192.168.1.14","17","1243",,,"42379","63595","1229"
"1735855484.253848000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
"1735855484.261335000","192.168.1.14","102.31.137.53","17","580",,,"63595","42379","566"
"1735855484.277259000","102.31.137.53","192.168.1.14","17","144",,,"42379","63595","130"
"1735855484.306034000","102.31.137.53","192.168.1.14","17","80",,,"42379","63595","66"
